pldb_id,title,type,appeared,language_rank,features_has_comments,features_has_semantic_indentation,features_has_line_comments,line_comment_token,last_activity,number_of_users,number_of_jobs,origin_community,central_package_repository_count,file_type,is_open_source
rlab,RLaB,pl,1998,1900,TRUE,NA,NA,NA,2004,80,0,https://sourceforge.net/p/rlab/bugs,0,text,NA
optimj,OptimJ,pl,2006,1902,TRUE,FALSE,TRUE,//,2010,70,0,Ateji,0,NA,NA
ambienttalk,AmbientTalk,pl,2006,1910,TRUE,NA,TRUE,NA,2006,1,0,Vrije Universiteit,NA,NA,NA
usd,USD,pl,2016,2010,TRUE,NA,TRUE,NA,2016,1,0,Pixar,NA,NA,NA
wescheme,wescheme,pl,2009,2011,TRUE,FALSE,TRUE,;,2022,1,0,NA,NA,NA,NA
savi,Savi,pl,2018,1864,TRUE,NA,TRUE,NA,2022,156,0,NA,NA,NA,NA
rita,Rita,pl,2019,2052,TRUE,NA,TRUE,NA,2022,70,0,https://github.com/zaibacu/rita-dsl/issues,NA,NA,NA
lain,lain,pl,2017,2068,TRUE,FALSE,TRUE,;,2017,1,0,https://github.com/XXIIVV,NA,NA,NA
luau,luau,pl,2020,2069,TRUE,FALSE,TRUE,--,2020,1,0,https://github.com/Roblox/luau/issues,NA,NA,NA
bioscript,bioscript,pl,2019,2074,TRUE,FALSE,NA,NA,2019,0,0,"University of California, Riverside",NA,NA,NA
sora,sora,pl,2019,2079,TRUE,FALSE,TRUE,//,2019,0,0,NA,NA,NA,NA
konsolscript,KonsolScript,pl,2005,2275,TRUE,NA,NA,NA,2010,30,0,https://sourceforge.net/p/konsolscript/feature-requests/,0,NA,NA
spice,Spice,pl,2021,2366,TRUE,NA,TRUE,NA,2021,1,0,NA,NA,NA,NA
sarl,SARL,pl,2013,2464,TRUE,NA,NA,NA,2013,1,0,NA,NA,NA,NA
rbscript,rbscript,pl,1996,2474,TRUE,FALSE,TRUE,//,1996,0,0,NA,0,NA,NA
snobol4,SNOBOL4,pl,1967,2727,TRUE,NA,NA,NA,1967,0,0,NA,0,NA,NA
smithy,Smithy,pl,2016,2877,TRUE,NA,NA,NA,2016,1,0,NA,NA,NA,NA
babel,BABEL,pl,1990,2994,TRUE,NA,NA,NA,1990,0,0,University of Münster && Universidad Politécnica de Madrid,0,NA,NA
